A	განუსაზღვრელი არტიკლი,
alert	ცოცხალი, ფხიზელი; on the alert - ფხიზლად
alight	ჩამოსვლა, გადმოსვლა (ავტობუსიდან); ანთებული, დანთებული
alike	მსგავსი, მგვანი
aliment	კვება, საკვები
alimony	ალიმენტი
alive	ცოცხალი; მხნე
all	ყველა, მთელი, ყველაფერი at all -სავსებით; not at all-სრულეითაც არა; all at
once-	უცბად, all the same-სულ ერთია; for all that- მიუხედავდ ამისა; all right - კარგი, კეთილი, არა უშავრს
allege	მტკიცება
allegiance	ერთგულება
alleviate	შემსუბუქება (ტკივილის)
alliance	კავშირი
allied	მოკავშირე, ახლობელი
allot	განაწილება, გადაცემა
allow	ნებართვის მიცემა
allusion	გადაკრული სიტყვა
ally	მოკავშირე, შეერთება, დაკავშირება, შემოერთება
almond	ნუში
almost	თითქმის
alone	მარტოხელა, ერთი
along	გასწვრივ, -ით, all along - მუდამ
alongside	გვერდით
aloud	ხმამაღლა, გასაგონად
alphabet	ანბანი
Alps	ალპები (მთები)
already	უკვე
also	აგრეთვე
altar	საკურთხეველი (რელ.)
alter	გამოცვლა; გადაკეთება
although	თუმცა, რომც კი; მიუხედავად იმისა, რომ
altogether	სავსებით, საერთოდ, სულ
always	ყოველთვის, მუდამ
A.M.	შუადღემდის
amass	შეგროვება, დაგროვება
amateur	მოყვარული
amaze	გაოცება
ambassador	ელჩი, წარმომადგენელი
ambiguous	ორაზროვანი
ambition	პატივმოყვარეობა, ამბიცია
ambitious	პატივმოყვარული
ambulance	სანიტარული ავტომანქანა, საველე, ლაზარეთი
ameliorate	გაუმჯობესება
Amen	ამინ (რელ.)
amend	შეკეთება, გასწორება
America	ამერიკა
American	ამერიკელი, ამერიკული
amiable	თავაზიანი, ზრდილობიანი; მეგობრული
amicable	მეგობრული
amid,	amidst   შორის
amity	მეგობრობა
ammunition	ამუნიცია, საჭურველი
among	შორის
amount	თანხა, ოდენობა; მიღწევა, შეგენა (თანხის)
ample	უხვი, საკმარისი
amuse	გართობა, დროს ტარება
amusement	გართობა
amusing	სასაცილო
an	განუსაზღვრელი არტიკლი
analyse	ანალიზება, გარჩევა; დაშლა (ქიმიაში)
analysis	ანალიზი, გარჩევა
ancestor	წინაპარი
anchor	ღუზა
ancient	ძველი, ანტიური
and	და (კავშირი)
anew	ხელახლა, თავიდან
angel	ანგელოზი
anger	ბრაზი, წყრომა; გაბრაზება
angle	კუთხე; ანკესი
angry	გულმოსული, გაჯავრებული
animal	ცხოველი, პირუტყვი
animate	გაცოცხლება, აღრფთოვანება, ანიმაცია
animosity	მტრობა, შუღლი
annex	შემოერთება
annihilate	მოსპობა, გაუქმება
anniversary	წლის თავის
announce	განცხადება; გამოცხადება, შეტყობინება
announcer	დიქტორი
annoy	თავის მობეზრება, გულის გაწყალება
annual	წლიური, ყოველწლიური
annul	გაუქმება, მოსპობა
anointing	ცხება (ზეთის)
another	სხვა, მეორე
answer	პასუხი, პასუხის გაცემა
ant	ჭიანჭველა
antecedent	წინამავალი
antechamber	წინანაოთახი
anthem	ჰიმნი
anti-aircraft	საზენიტო
antichrist	ანტიქრისტე
anticipate	წინასწარხედვა, წინასწარწვრეტა
antidote	შხამის საწინაარმდეგო საშუალება
anvil	გრდემლი
anxiety	შიში, წუხილი, მოუსვენრობა
anxious	შეწუხებული; დიდად მსურველი
any	ყოველი, რომელიმე at any rate - ყოველ შემთხვევაში
anybody	ვინმე, ყოველი
anyhow	როგორმე, ყოველ შემთხვევაში
anyone	ვინმე, ყოველი
anything	რაიმე
anyway	ყოველ შემთხვევში
anywhere	სადმე, ყოველგან
apart	გვერდზე, ცალ-ცალკე; გარდა
apartment	ოთახი, ბინა
ape	მაიმუნი (განსაკ. ადამიანის მსგავსი); მაიმუნობა, მიბაძვა
aperture	ნახვრეტი, ჭუჭრუტანა
apiece	ცალობითი, ცალობრივი
apis	ფუტკარი
apocalypse	აპოკალიპსი, გამოცხადება (რელ.)
apocrypha	აპოკრიფა (რელ.)
apologise	ბოდიშის მოხდა
apology	ბოდიში; დაცვა
Apostle	მოციქული
apostrophe	აპოსტროფი
apparatus	აპარატი, ხელსაწყო
apparel	ტანსაცმელი, ტანისამოსი
apparent	ცხადი, აშკარა; მოჩვენებითი; უდავო
apparently	როგორც ჩანს, როგორც ეტყობა
apparition	გამოჩენა, გამოცხადება; მოჩვენება
appeal	მოწოდება
appear	გამოჩენა, გამოსვლა
appearance	გამოცენა, გარეგნობა
appease	დამშვიდება, დაწყნარება
append	მიკიდება; მიერთება; მიმატება
appendix	დამატება
appetite	მადა
appetizing	მადის მომგვრელი, მიმზიდველი
applaud	ტაშის კვრა; ტაშის ცემა; მოწონება
applause	ტაშის კვრა; ტაშის ცემა;
apple	ვაშლი; apple of the eye - თვალის გუგა, თვალის ჩინი
appliance	გამოყენება
applicant	მთხოვნელი, განმცხადებელი
application	გამოყენება, განცხადება
apply	გამოყენება; ხმარება; მიმართვა (ცნობისათვის, დახმარებისათვის)
appoint	დანიშვნა
appointment	შეხვედრის დანიშვნა, პაემანი
appreciate	დაფასება; შეფასება
apprehend	გაგება, მიხვედრა, შიში (შიშობს); დაპატიმრება
apprehension	გაგება; შიში; დატუსაღება, დაპატიმრება
apprentice	შეგირდი
apprise	შეფასება, შეტყობინება
approach	მიახლოება, მისვლა
approbation	დადასტურება, სანქცია, თნხმობა, მოწონება
appropriate	მითვისება
approval	მოწონება, მტკიცება
approve	მოწონება
approximately	დაახლოვებით, თითქმის
apricot	ჭერამი
April	აპრილი
apron	წინსაფარი
apt	ნიჭიერი, უნარიანი
aqueduct	წყალსადენი
Arab	არაბი
Arabian	არაბული
arc,	arch              რკალი, ცისარტყელა; მთავარი
architect	არქიტექტორი
archives	არქივი
arctic	არკტიკული, პოლარული, ჩრდილოეთის
ardent	მგრზნებარე, კვირცხლი
ardour	თავგამოდება, ბეჯითობა
area	ფართობი, თავისუფალი არე,
argil	თიხა
argue	დავა, მტკიცება
arid	მშრალი, უწყალო; უნაყოფო
arise	(rose, arisen)   წამოჭრა, ამბოხება, ადგომა
aristocracy	არისტოკრატი
arithmetic	არითმეთიკა
ark	კიდობანი, Ark of the Covenant- აღთქმის კიდობანი (რელ.)
arm	მკლავი, იარაღი, შეიარაღება
armament	შეიარაღება
armchair	სავარძელი
armful	ერთი იღლია (თივა)
Armenia	სომხეთი
Armenian	სომეხი, სომხური
armistice	დროებითი ზავი
armour	ჯავშანი
armoured	ჯავშნიანი, დაჯავშნული
armpit	იღლია
army	არმია, ჯარი
around	ირგვლივ, ყველგან, გარშემო
arrange	მოწყობა; მოწესრიგება; წესრიგში მოყვანა
arrest	დატუსაღება
arrival	ჩამოსვლა
arrive	ჩამოსვლა, მოსვლა
arrogance	ქედმარლობა
arrow	ისარი
arsenic	დარიშხანი
art	ხელოვნება
artery	არტერია
article	არტიკლი (გრამატიკული), წერილი (საგაზეთო); პუნქტი, მუხლი, საგანი
artificial	ხელოვნური
artillery	არტილერია
artisan	ხელოსანი
artist	მხატვარი, არტისტი, მსახიობი
as	როგორც, ასე, ასევე, as...as- ისევე როგორც, as much as - იმდენივე, as soon as - როგორც კი;
asend	ამაღლება, ასვლა
ascent	ასვლა, აღმართი
ash	ფერფლი, ნაცარი
ashamed	დარცხვენილი
ashore	ნაპირზე, ნაპირისაკენ
ash-tray	საფერფლე
Asia	აზია
Asiatic	აზიური
aside	გვერდზე
ask	შეკითხვა, კითხვების დასმა; თხოვნა
asleep	მძინარე, to be asleep -ძილი
aspect	ასპექტი, სახეობა
aspirant	ასპირანტი, კანდიდატი
aspire	სწრაფვა, შურება
ass	ვირი, საჯდომი (უხეში ფორმა)
assail	თავდასხმა, იერიშზე გადასვლა
assassin	მკვლელი
assassinate	კვლა, მოკვლა
assault	თავდასხმა, იერიში
assemble	თავისმოყრა, შეგროვება
assent	თანხმობა, სანქცია
assert	მტკიცება
assiduous	ბეჯითი
assign	დანიშვნა
assist	დახმარება, შველა
assistant	ასისტენტი, თანაშემწე
associate	მოკავშირე, მონაწილე; შეერთება, ურთიერთთანამშრომლობა
association	საზოგადოება
assume	თავის თავზე მიღება; განზრახვა, დაშვება
assure	დარწმუნება
astonish	გაოცება, გაკვირვება
astonishment	გაოცება, გაკვირვება
asylum	თავშესაფარი
Assyria	სირია
at	-ში, -ზე, თან; ახლოს; at dinner - სადილად; at first-პირველად; at home- სახლში;
at	play- თამაშის დროს; at once-მაშინვე
Athens	ათენი
Atlantic	ატლანტის ოკეანე
atom	ატომი
atomic	ატომური
atrocious	სასტიკი, მხეცური
attach	მიბმა, მიმაგრება, შეერთება, მიზიდვა, მონადირება
attack	შეტაკება, თავდასხმა
attain	მიღწევა
attempt	ცდა (შეეცადა)
attend	დასწრება (კრებაზე); გაცილება, თანხლება, მოვლა (ავადმყოფისა)
attendant	მსახური, გამცილებელი
attention	ყურადღება; to play attantion - ყურადღების მიქცევა
attentive	ყურადღებიანი
attest	დადასტურება, დამოწმება
attic	სხვენი
attitude	დამოკიდებულება (რისიმე მიმართ); პოზიცია
attract	მიზიდვა
attraction	მიზიდულობა, მიზიდვა, მიტყუება, მიმზიდველობა
attribute	თვისება, ნიშანი, მიწერა (რაიმე თვისებისა)
audacious	გულადი, გაბედული, თამადი
audible	გასაგები, მკაფიო
audience	აუდიტორია, საზოგადოება
augment	გადიდება, მიმატება
augur	წინასწარმეტყველი
August	აგვისტო
aunt	დეიდა, ბიცოლა, მამიდა
aurora	განთიადი, ცისკარი
Australia	ავსტრალია
Australian	ავსტრალიელი, ავსტრალიური
Austria	ავსტრია
Austrian	ავსტრიელი, ავსტრიის
author	ავტორი
authority	ავტორიტეტი
authorize	სრული უფლებებით აღჭურვა
authorship	ავტორობა (auto)bus            ავტობუსი
autobiography	ავტობიგრაფია
automatic	ავტომატური
autumn	შემოდგომა
auxiliary	დამხმარე
avail	სარგებლობა
avenge	შურისძიება, სისხლის აღება
avenue	გამზირი, პროსპექტი
average	on an average - საშუალოდ
aversion	სიძულვილი
avert	აცილება, არიდება
avoid	თავიდან აცილება, თავის დაღწევა
await	ცდა, ლოდონი
awake	(awoke, awoke, awaked) გაღვიძება, გამოღვიძება
award	ჯილდო, დაჯილდოება, მინიჭება
aware	მცოდნე, საქმეს გაცნობილი
away	შორს
awful	საშინელი
awkward	მოუხერხებელი, მოუქნელი
axe	ცული
axis	ღერძი
Azerbaijan	აზერბაიჯანი
baby	ბავშვი
babyish	ბავშური
Babylon	ბაბილონი (რელ.)
bachelor	უცოლო, ბაკალავრი
back	ზურგი, უკანა მხარე, უკან, მხარის დაჭერა, გამაგრება
backbone	ხერხემალი
background	ფონი
backward	უკან, ჩამორჩენილი, დაგვიანებული
bad	ცუდი
badge	ნიშანი
badly	ცუდად, მძიმად (დაჭრილი), ძალიან
baffle	გეგმების ჩაშლა, ხელის შეშლა
bag	ჩანთა, ტომარა
bake	გამოცხობა, გამოწვა (აგურის)
baker	მეპურე
bakery	თორნე, ფურნე
balance	წონსაწორობა, სასწორი, წონა (იწონის)
bald	მელოტი, თავმოტვლეპილი
ball	ბურთი, სფერო, ტყვია
balloon	აეროსტატი, ბურთი
ballot	კენჭისყრა, ხმის მიცემა
balm	ბალზამი
Baltic	Sea      ბალტიის ზღვა
bamboo	ბამბუკი
band	ორკესტრი, ბანდა, ბრბო
bandage	ბანდი, ბანდვა, შეხვევა
bandit	ბანდიტი, ყაჩაღი
banish	გაგდება, გაძევება
banishment	გაგდება, გაძევება, გადასახლება
bank	ბანკი, ნაპირი (მდინარისა)
bankrupt	ბანკროტი
banner	დროშა, ალამი
banner-hearer	მედროშე
baptism	ნათლობა, ნათლისღება
barbarian	ბარბაროსი
barbed	ეკლებიანი
barbed	wire     ეკლიანი მავთული
barber	პარიკმახერი, დალაქი
bare	შიშველი
bargain	იაფად ნაყიდი საგანი, ვაჭრობა, მორიგება
bark	ყეფა
barley	ქერი
barn	ბეღელი
barrack	ყაზარმა
barrel	კასრი, ლულა; barel-organ - ორღანი
barren	უნაყოფო
barter	საქონლის ტრიალი ან ბრუნვა
base	ბაზა, ფუნდამეტი, დაარსება, დაფუძნება
baseless	უსაფუძვლო
bashful	მორცხვი, მორიდებული
basic	ძირითადი, მთავარი
basin	ტაშტი, აუზი, თასი
basis	საფუძველი, ბაზისი
basket	კალათა
bat	ღამურა
bath	აბაზანა, აბანო
bathe	ბანაობა, აბაზანის მიღება
bathing	ბანაობა
battery	ბატარეა
battle	ბრძოლა
battle-field	ბრძოლის ველი
bay	ყურე, უბე
bayonet	ხიშტი
be	(were, been)      to be back-დაბრუნება, to be in-სახლში ყოფნა, to be off- წასვლა, არყოფნა; to
be	out-სახლში არ ყოფნა
beach	ნაპირი (ზღვის)
beacon	შუქურა
beak	ნისკარტი
beam	სხივი, კაშკაში, კამკამი
bear	დათვი
bear	(borne)         ტარება, ატანა, დაბადება
beard	წვერი
bearer	წარმდგენელი, წარმომდგენი, მატარებელი
beast	მხეცი, ნადირი, ცხოველი
beat	ცემა, დარტყმა
beautiful	მშვენიერი, ლამაზი
beauty	სილამაზე, მზეთუნახავი
because	იმიტომ რომ, იმისათვის რომ; because of - გამო, გულისათვის
beckon	თავის დაქნევა, დაძახება, მოხმობა, მოხიბლვა, მიზიდვა
become	გახდომა, გამოხდომა (უხდება); შეფერება
becoming	შესაფერი , გახდომა
bed	საწოლი, სარეცელი, ლოგინი
bedroom	საწოლი ოთახი
bee	ფუტკარი
beech	წიფელი
beef	საქონლის ხორცი
bee-hive	სკა
bee-master	მეფუტკრე
beer	ლუდი
beet	ჭარხალი
beetle	ხოჭო
before	წინ, -მდე, უფრო ადრე, წინათ, უკვე; before long-მალე
beforehand	წინასწარ, წინდაწინ
beg	თხოვნა, ვედრება; მათხოვრობა
beggar	მათხოვარი
begin	(began, begun)   დაწყება, to begin with - უწინარეს ყოვლისა
beginner	დამწყები
beginning	დასაწყისი
behalf	on behalf of -სახელით; in behalf of -თვის, გულისთვის
behave	ქცევა, თავისდაჭერა
behavior	ყოფაქცევა
behind	უკან, შემდეგ
behold	(behold)        ხედვა, ჭვრეტა, შენიშვნა, შეხედე,
being	არსება, არსი, ყოფნა; human being - ადამიანი
Belgian	ბელგიელი; Belgium - ბელგია
belief	რწმენა, ნდობა
believe	რწმენა, დაჯერება, მინდობა
believer	მორწმუნე
bell	ზარი
belligerent	მეომარი მხარე
belong	კუთვნება (ეკუთვნის)
beloved	საყვარელი, ძვირფასი
below	ქვეშ, ქვევით
belt	ქამარი, სარტყელი, ზონა
bench	გრძელი სკამი
bend	(bent)            მოხრა, მოღუნვა
beneath	ქვემოთ, ქვეშ
benefit	მოწყალება, სარგებლობა
Berlin	ბერლინი
berry	კენკრა
berth	საწოლი ადგილი
beseech	(besought)     თხოვნა, ვედრება
beside	ახლოს, გვერდით
besides	ამას გარდა, კიდევ
besiege	ალყის შემორტყმა
best	საუკეთესო
bestow	ჩუქება
bet	სანაძლეო, სანაძლეოს დადება
Bethlehem	ბეთლემი
betimes	დროულად, ადრე
betray	გაცემა ვალად
betrayal	გამცემლობა, ღალატი
betroth	დანიშვნა
betrothal	ნიშნობა
better	უკეთესი, გაუმჯობესება
between	შუა, შორის
beverage	სასმელი
beware	გაფრთხილება, მორიდება
bewilder	შეშფოთება
bewitch	მოჯადოება, მონუსხვა
beyond	იმ მხარეზე; ზევით, იქით; It is beyond me - ეს ჩემს ძალღონეს არემატება
bib	ბავშვის წინსაფარი
Bible	ბიბლია (რელ.)
bicycle	ველოსიპედი
bid	(bade, bid, bidden)   ბრძანება, ბრანების გაცემა
bier	კატაფალკი
bifurcate	ორად გაყოფა
big	დიდი, big ben - დიდიდ საათი ინგლისის პარლამენტის შენობაზე
bilateral	ორმხრივი, ორგვერდა
bill	ანგარიში; კანონპროექტი; ნისკარტი; თამასუქი; აფიშა, ლოზუნგი
bin	სანაგვე ყუთი
bind	(bound)              შეკვრა, ყდაში ჩასმა (წიგნის)
binding	ყდა
biography	ბიოგრაფია
birch	არყის ხე
bird	ჩიტი, ფრინველი
birdie	ჩიტუნა
birth	დაბადება, საწყისი
birthday	დაბადების დღე
bishop	ეპისკოპოსი
bit	ნაჭერი, ნატეხი; a bit-ცოტა; bit by bit-თანდათანობით
bite	(bit, bitten)        კბენა
bitter	მწარე
black	შავი, გაშავებული
blackberry	მაყვალი
blackbird	შაშვი
blackboard	საკლასო დაფა
blacking	ვაქსი (ფეხსაცმლის საწმენდი)
blackmail	შანტაჟი, გამოძალვა
blackness	სიშავე, სიბნელე
Black	Sea                 შავი ზღვა
blacksmith	მჭედელი
blame	განკიცხვა, გალანძღვა, დანაშაული
blank	სუფთა, ცარიელი, დაუწერელი; ბლანკი, ცარიელი ადგილი
blanket	საბანი
blast	სიო, ნიავი, აფეთქება, ქროლვა
blast-furnace	ბრძმედი
blatant	მყვირალა
blaze	ალი, ანთება, გიზგიზი
blazing	ანთებული, აგიზგიზებული
bleak	ცივი, სუსხიანი, მკაცრი
bleat	ბღავილი, კიკინი
bleed	(bled)         სისხლის დენა-გამოშვება
blemish	ხარვეზი, ნაკლი
bless	კურთხევა, დალოცვა; Bless Master! - მაკურთხეთ მეუფეო!
blessing	კურთხევა, დალოცვა;
blind	ბრმა, დაბრმავება
blindfold	თვალახვეული
blink	ციმციმი. კამკამი
bliss	ნეტარება
blister	ბურცი, კოპი
block	ჯირკი, მორი; კვარტალი (ქალაქის)
blond	ქერა, ქერათმიანი
blood	სისხლი, მკვლელობა; blood-guilty - მკვლელი
bloodhound	მეძებარი
bad	blood            მტრობა
blood-letting	სისხლის გამოშვება
bloodshed	სისხლის ღვრა
